#<date in matlab serial format>	<date in the format dd mmm yyyy>	<time index>
722998	02 Jul 1979	884
722999	03 Jul 1979	885
723001	05 Jul 1979	886
723002	06 Jul 1979	887
723005	09 Jul 1979	888
723006	10 Jul 1979	889
723007	11 Jul 1979	890
723008	12 Jul 1979	891
723009	13 Jul 1979	892
723012	16 Jul 1979	893
723013	17 Jul 1979	894
723014	18 Jul 1979	895
723015	19 Jul 1979	896
723016	20 Jul 1979	897
723019	23 Jul 1979	898
723020	24 Jul 1979	899
723021	25 Jul 1979	900
723022	26 Jul 1979	901
723023	27 Jul 1979	902
723026	30 Jul 1979	903
723027	31 Jul 1979	904
723028	01 Aug 1979	905
723029	02 Aug 1979	906
723030	03 Aug 1979	907
723033	06 Aug 1979	908
723034	07 Aug 1979	909
723035	08 Aug 1979	910
723036	09 Aug 1979	911
723037	10 Aug 1979	912
723040	13 Aug 1979	913
723041	14 Aug 1979	914
723042	15 Aug 1979	915
723043	16 Aug 1979	916
723044	17 Aug 1979	917
723047	20 Aug 1979	918
723048	21 Aug 1979	919
723049	22 Aug 1979	920
723050	23 Aug 1979	921
723051	24 Aug 1979	922
723054	27 Aug 1979	923
723055	28 Aug 1979	924
723056	29 Aug 1979	925
723057	30 Aug 1979	926
723058	31 Aug 1979	927
723062	04 Sep 1979	928
723063	05 Sep 1979	929
723064	06 Sep 1979	930
723065	07 Sep 1979	931
723068	10 Sep 1979	932
723069	11 Sep 1979	933
723070	12 Sep 1979	934
723071	13 Sep 1979	935
723072	14 Sep 1979	936
723075	17 Sep 1979	937
723076	18 Sep 1979	938
723077	19 Sep 1979	939
723078	20 Sep 1979	940
723079	21 Sep 1979	941
723082	24 Sep 1979	942
723083	25 Sep 1979	943
723084	26 Sep 1979	944
723085	27 Sep 1979	945
723086	28 Sep 1979	946
723089	01 Oct 1979	947
723090	02 Oct 1979	948
723091	03 Oct 1979	949
723092	04 Oct 1979	950
723093	05 Oct 1979	951
723096	08 Oct 1979	952
723097	09 Oct 1979	953
723098	10 Oct 1979	954
723099	11 Oct 1979	955
723100	12 Oct 1979	956
723103	15 Oct 1979	957
723104	16 Oct 1979	958
723105	17 Oct 1979	959
723106	18 Oct 1979	960
723107	19 Oct 1979	961
723110	22 Oct 1979	962
723111	23 Oct 1979	963
723112	24 Oct 1979	964
723113	25 Oct 1979	965
723114	26 Oct 1979	966
723117	29 Oct 1979	967
723118	30 Oct 1979	968
723119	31 Oct 1979	969
723120	01 Nov 1979	970
723121	02 Nov 1979	971
723124	05 Nov 1979	972
723125	06 Nov 1979	973
723126	07 Nov 1979	974
723127	08 Nov 1979	975
723128	09 Nov 1979	976
723131	12 Nov 1979	977
723132	13 Nov 1979	978
723133	14 Nov 1979	979
723134	15 Nov 1979	980
723135	16 Nov 1979	981
723138	19 Nov 1979	982
723139	20 Nov 1979	983
723140	21 Nov 1979	984
723142	23 Nov 1979	985
723145	26 Nov 1979	986
723146	27 Nov 1979	987
723147	28 Nov 1979	988
723148	29 Nov 1979	989
723149	30 Nov 1979	990
723152	03 Dec 1979	991
723153	04 Dec 1979	992
723154	05 Dec 1979	993
723155	06 Dec 1979	994
723156	07 Dec 1979	995
723159	10 Dec 1979	996
723160	11 Dec 1979	997
723161	12 Dec 1979	998
723162	13 Dec 1979	999
723163	14 Dec 1979	1000
